Hey Jude,The Beatles
(Sittin' On) The Dock of the Bay,Otis Redding
I Want to Hold Your Hand,The Beatles
Like a Rolling Stone,Bob Dylan
Respect,Aretha Franklin
I Can't Get No Satisfaction,The Rolling Stones
My Girl,The Temptations
Yesterday,The Beatles
A Day in the Life,The Beatles
Good Vibrations,The Beach Boys
What a Wonderful World,Louis Armstrong
House of the Rising Sun,The Animals
Blowin' in the Wind,Bob Dylan
Stand By Me,Ben E. King
Let It Be,The Beatles
In the Midnight Hour,Wilson Pickett
Help!,The Beatles
Twist and Shout,The Beatles
California Dreamin',The Mamas & the Papas
I Heard It Through the Grapevine,Marvin Gaye
Can't Help Falling in Love,Elvis Presley
Brown Eyed Girl,Van Morrison
I Say a Little Prayer,Aretha Franklin
Under the Boardwalk,The Drifters
(Sittin' On) The Dock of the Bay,Otis Redding
Johnny B. Goode,Chuck Berry
I'm a Believer,The Monkees
My Generation,The Who
Born to Be Wild,Steppenwolf
For Once in My Life,Stevie Wonder
All Along the Watchtower,The Jimi Hendrix Experience
Suspicious Minds,Elvis Presley
A Whiter Shade of Pale,Procol Harum
Dancing in the Street,Martha and the Vandellas
Light My Fire,The Doors
Somebody to Love,Jefferson Airplane
Unchained Melody,The Righteous Brothers
Be My Baby,The Ronettes
I Want You Back,The Jackson 5
Crazy,Patsy Cline
Can't Take My Eyes Off You,Andy Williams
Piece of My Heart,Big Brother and the Holding Company
Mrs. Robinson,Simon & Garfunkel
You Really Got Me,The Kinks
Proud Mary,Ike & Tina Turner
Georgia on My Mind,Ray Charles
The Twist,Chubby Checker
Brown Sugar,The Rolling Stones
I Got You Babe,Sonny & Cher
I Want to Hold Your Hand,The Beatles
I Got You (I Feel Good),James Brown
Space Oddity,David Bowie
Oh, Pretty Woman,Roy Orbison
Eight Miles High,The Byrds
All You Need Is Love,The Beatles
The Sound of Silence,Simon & Garfunkel
You've Lost That Lovin' Feelin',The Righteous Brothers
Paint It Black,The Rolling Stones
The House of the Rising Sun,The Animals
Strawberry Fields Forever,The Beatles
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension
The Tracks of My Tears,The Miracles
Sunshine of Your Love,Cream
Sweet Caroline,Neil Diamond
Fortunate Son,Creedence Clearwater Revival